counter,player1,countrynb,country1,meanAce,meanDouble,avgError,avgTotal,wins,losses,TotalGames,WinPercentage,cmeanAce,cmeanDouble,cavgError
1,Adrian Mannarino,19,FRA,3,3,3,142,1,5,6,0.166666667,11.55718301,4.775302343,34.06826342
2,Agustin Calleri,1,ARG,16,8.5,50.5,141.5,2,4,6,0.333333333,7.751352814,4.590367965,28.89442641
3,Albert Costa,17,ESP,7,4.5,19.5,138.5,2,2,4,0.5,8.038350716,3.699597405,25.3787639
4,Albert Montanes,17,ESP,13,5,57,174,1,8,9,0.111111111,8.038350716,3.699597405,25.3787639
5,Alberto Martin,17,ESP,4,6,34,169,1,3,4,0.25,8.038350716,3.699597405,25.3787639
6,Alejandro Falla,12,COL,5,2,10.25,128.5,4,4,8,0.5,2.5,1.5,5.625
7,Alex Corretja,17,ESP,4,3,20,108,1,1,2,0.5,8.038350716,3.699597405,25.3787639
8,Alex Jr. Bogomolov,39,RUS,5,5,27.5,153.5,2,5,7,0.285714286,8.611896745,3.974242424,30.55729517
9,Alex Kuznetsov,48,USA,26,5,67,165,1,2,3,0.333333333,12.59638166,4.268508044,26.7902605
10,Alexandr Dolgopolov,47,UKR,11.6,2.8,37.4,129.8,5,4,9,0.555555556,11.3,4.9,26.45
11,Amer Delic,6,BIH,10.5,4.5,45,128.5,2,3,5,0.4,8,4.5,30
12,Amir Weintraub,23,ISR,12,2,2,109,1,1,2,0.5,6,3,16
13,Andre Agassi,48,USA,7.444444444,2.444444444,18.11111111,99.11111111,9,2,11,0.818181818,12.59638166,4.268508044,26.7902605
14,Andreas Seppi,24,ITA,14.2,5.4,40.4,157.4,5,8,13,0.384615385,7.314285714,3.819047619,32.48571429
15,Andrei Pavel,38,ROU,8.4,2,31.6,138.6,5,4,9,0.555555556,7.95,2,29.3
16,Andrey Golubev,26,KAZ,8,6,31.5,155,2,2,4,0.5,7.333333333,3.555555556,31.72222222
17,Andrey Kuznetsov,39,RUS,5,6,49,101,1,1,2,0.5,8.611896745,3.974242424,30.55729517
18,Andy Murray,20,GBR,8.424242424,1.787878788,24.60606061,101.8181818,33,9,42,0.785714286,9.058080808,4.679292929,28.03535354
19,Andy Roddick,48,USA,15.65625,1.75,18.28125,105.125,32,8,40,0.8,12.59638166,4.268508044,26.7902605
20,Arnaud Clement,19,FRA,11,2,35,122,1,7,8,0.125,11.55718301,4.775302343,34.06826342
21,Benjamin Becker,22,GER,16,7,7,142,1,6,7,0.142857143,9.002465986,3.653741497,25.07380952
22,Benoit Paire,19,FRA,28,5.5,35,152.5,2,4,6,0.333333333,11.55718301,4.775302343,34.06826342
23,Bernard Tomic,3,AUS,9.444444444,1.777777778,37.11111111,129.6666667,9,6,15,0.6,14.17120181,5.274943311,38.63038549
24,Bjorn Phau,21,GER,4.5,4,49.5,131,2,6,8,0.25,9.002465986,3.653741497,25.07380952
25,Blaz Kavcic,40,SLO,9.5,5,20.25,129.5,4,4,8,0.5,7.75,6.5,14.125
26,Blaz Rola,40,SLO,6,8,8,108,1,1,2,0.5,7.75,6.5,14.125
27,Bobby Reynolds,48,USA,15.5,3.5,37.5,130,2,3,5,0.4,12.59638166,4.268508044,26.7902605
28,Bohdan Ulihrach,15,CZE,3.5,4,25,134,2,2,4,0.5,8.660185185,3.86712963,36.71805556
29,Boris Pashanski,41,SRB,6,0,20,137,1,1,2,0.5,11.16063738,2.929371232,26.92420327
30,Brian Baker,48,USA,13,4,4,173,1,1,2,0.5,12.59638166,4.268508044,26.7902605
31,Brydan Klein,3,AUS,14,6,46,114,1,2,3,0.333333333,14.17120181,5.274943311,38.63038549
32,Carlos Berlocq,1,ARG,9.5,6,6,134,2,5,7,0.285714286,7.751352814,4.590367965,28.89442641
33,Chris Guccione,3,AUS,11.5,4,27,104,2,6,8,0.25,14.17120181,5.274943311,38.63038549
34,Christophe Rochus,5,BEL,7,2,22,97,1,5,6,0.166666667,9.666666667,3.433333333,37.93333333
35,Cyril Saulnier,19,FRA,10,5,50,117,1,3,4,0.25,11.55718301,4.775302343,34.06826342
36,Damir Dzumhur,6,BIH,5.5,4.5,15,95,2,1,3,0.666666667,8,4.5,30
37,Danai Udomchoke,45,THA,5,9.5,45,135,2,3,5,0.4,6.25,5.875,35.875
38,Daniel Brands,21,GER,14,2,2,105,1,1,2,0.5,9.002465986,3.653741497,25.07380952
39,Daniel Gimeno-Traver,17,ESP,15,6,6,156,1,4,5,0.2,8.038350716,3.699597405,25.3787639
40,Daniele Bracciali,24,ITA,11,3,34,104,1,3,4,0.25,7.314285714,3.819047619,32.48571429
41,David Ferrer,17,ESP,4.3125,2.3125,29.46875,114.625,32,11,43,0.744186047,8.038350716,3.699597405,25.3787639
42,David Nalbandian,1,ARG,6.285714286,3.952380952,39.14285714,126.1428571,21,8,29,0.724137931,7.751352814,4.590367965,28.89442641
43,David Sanchez-Munoz,17,ESP,3,3,30,175,1,2,3,0.333333333,8.038350716,3.699597405,25.3787639
44,Davide Sanguinetti,24,ITA,5,1,39,116,1,3,4,0.25,7.314285714,3.819047619,32.48571429
45,Denis Gremelmayr,21,GER,8,6,38.5,138,2,2,4,0.5,9.002465986,3.653741497,25.07380952
46,Denis Istomin,49,UZB,8.666666667,1,25.33333333,124,3,7,10,0.3,8.666666667,1,25.33333333
47,Dick Norman,5,BEL,18,9,90,165,1,1,2,0.5,9.666666667,3.433333333,37.93333333
48,Dmitry Tursunov,39,RUS,12.5,6.5,20,123.75,4,6,10,0.4,8.611896745,3.974242424,30.55729517
49,Dominic Thiem,4,AUT,20,3,3,148,1,1,2,0.5,10.5,5.766666667,26.8
50,Dominik Hrbaty,43,SVK,8.181818182,6,48.09090909,138.8181818,11,5,16,0.6875,10.73636364,5.366666667,28.78484848
51,Donald Young,48,USA,3.666666667,9,39.33333333,138,3,5,8,0.375,12.59638166,4.268508044,26.7902605
52,Dudi Sela,23,ISR,0,4,30,96,1,6,7,0.142857143,6,3,16
53,Dusan Lajovic,41,SRB,7,7,57,141,1,1,2,0.5,11.16063738,2.929371232,26.92420327
54,Edouard Roger-Vasselin,19,FRA,9.5,4.5,4.5,137.5,4,4,8,0.5,11.55718301,4.775302343,34.06826342
55,Ernests Gulbis,28,LAT,17,11,79,127,1,5,6,0.166666667,17,11,79
56,Evgeny Donskoy,39,RUS,16,2,2,135,2,1,3,0.666666667,8.611896745,3.974242424,30.55729517
57,Evgeny Korolev,26,KAZ,9,3,21,102,1,4,5,0.2,7.333333333,3.555555556,31.72222222
58,Fabio Fognini,24,ITA,7,6.333333333,39,110,3,5,8,0.375,7.314285714,3.819047619,32.48571429
59,Fabrice Santoro,19,FRA,9.444444444,2.555555556,19.22222222,125.7777778,9,7,16,0.5625,11.55718301,4.775302343,34.06826342
60,Federico Luzzi,24,ITA,8,2,32,91,1,2,3,0.333333333,7.314285714,3.819047619,32.48571429
61,Feliciano Lopez,17,ESP,13.66666667,4.25,26.75,122.75,12,10,22,0.545454545,8.038350716,3.699597405,25.3787639
62,Fernando Gonzalez,11,CHI,13.375,3.625,33.1875,126.75,16,7,23,0.695652174,10.29166667,4.708333333,36.89583333
63,Fernando Verdasco,17,ESP,7.705882353,4,31.58823529,110,17,11,28,0.607142857,8.038350716,3.699597405,25.3787639
64,Filippo Volandri,24,ITA,4,3,37,135,1,7,8,0.125,7.314285714,3.819047619,32.48571429
65,Flavio Cipolla,24,ITA,2,6,6,144,1,3,4,0.25,7.314285714,3.819047619,32.48571429
66,Florent Serra,19,FRA,6.666666667,3.333333333,53.66666667,134.6666667,3,7,10,0.3,11.55718301,4.775302343,34.06826342
67,Florian Mayer,21,GER,10.875,1.75,26.5,120.625,8,9,17,0.470588235,9.002465986,3.653741497,25.07380952
68,Frank Dancevic,10,CAN,25,3,31,108,1,4,5,0.2,17.44444444,4.592592593,22.85185185
69,Frederico Gil,37,POR,3,0,0,109,2,3,5,0.4,3.5,2,2
70,Gael Monfils,19,FRA,13.3125,6.5,39.25,125.125,16,9,25,0.64,11.55718301,4.775302343,34.06826342
71,Galo Blanco,17,ESP,2,1,5,24,1,1,2,0.5,8.038350716,3.699597405,25.3787639
72,Gaston Gaudio,1,ARG,4,6,27,101.8,5,4,9,0.555555556,7.751352814,4.590367965,28.89442641
73,Gilles Muller,30,LUX,25.5,3.5,34,116,2,8,10,0.2,25.5,3.5,34
74,Gilles Simon,19,FRA,7.166666667,3.666666667,41,135.9166667,12,8,20,0.6,11.55718301,4.775302343,34.06826342
75,Glenn Weiner,48,USA,34,8,30,152,1,1,2,0.5,12.59638166,4.268508044,26.7902605
76,Go Soeda,25,JPN,6,3,36,142,1,3,4,0.25,6.895833333,3.3125,37.79166667
77,Greg Rusedski,20,GBR,14,9,35,129,1,2,3,0.333333333,9.058080808,4.679292929,28.03535354
78,Gregory Carraz,19,FRA,30,12,53,160,1,2,3,0.333333333,11.55718301,4.775302343,34.06826342
79,Grigor Dimitrov,9,BUL,13.4,5,24.8,128,5,4,9,0.555555556,13.4,5,24.8
80,Guillaume Rufin,19,FRA,5,4,4,130,1,2,3,0.333333333,11.55718301,4.775302343,34.06826342
81,Guillermo Canas,1,ARG,6.166666667,4.166666667,21.83333333,131.5,6,3,9,0.666666667,7.751352814,4.590367965,28.89442641
82,Guillermo Coria,1,ARG,2.8,7,32.2,126.4,5,3,8,0.625,7.751352814,4.590367965,28.89442641
83,Guillermo Garcia-Lopez,17,ESP,8.25,4.25,23.75,102.25,4,10,14,0.285714286,8.038350716,3.699597405,25.3787639
84,Gustavo Kuerten,8,BRA,13.5,4.5,41.5,145,2,1,3,0.666666667,8.833333333,4.5,23.66666667
85,Hicham Arazi,31,MAR,5.75,1.5,24,104.25,4,1,5,0.8,5.75,1.5,24
86,Hyung-Taik Lee,27,KOR,7,0,13,98,1,5,6,0.166666667,7,0,13
87,Igor Andreev,39,RUS,7,4.25,42.75,131.25,4,8,12,0.333333333,8.611896745,3.974242424,30.55729517
88,Ilija Bozoljac,41,SRB,4,2,15,84,1,1,2,0.5,11.16063738,2.929371232,26.92420327
89,Ivan Dodig,14,CRO,18.33333333,2.666666667,23,141.3333333,3,4,7,0.428571429,15.47936508,2.82968254,29.56904762
90,Ivan Ljubicic,13,CRO,9.777777778,1.888888889,23.66666667,114.1111111,9,8,17,0.529411765,15.47936508,2.82968254,29.56904762
91,Ivo Karlovic,13,CRO,24.5,3.25,20.25,123.5,4,10,14,0.285714286,15.47936508,2.82968254,29.56904762
92,Jack Sock,48,USA,16,12,12,146,1,1,2,0.5,12.59638166,4.268508044,26.7902605
93,James Blake,48,USA,8.294117647,2.411764706,27.52941176,108.7647059,17,7,24,0.708333333,12.59638166,4.268508044,26.7902605
94,James Duckworth,3,AUS,19.5,3.5,50.5,151,2,3,5,0.4,14.17120181,5.274943311,38.63038549
95,Jan Hernych,15,CZE,5,3,48.5,136,2,3,5,0.4,8.660185185,3.86712963,36.71805556
