state,count,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,clr
al,642,48,40,34,52,57,66,74,49,37,64,72,49,2
ak,319,34,23,38,21,11,16,10,21,32,37,32,44,1
,,,,,,,,,,,,,,
az,2414,174,183,272,191,182,217,198,206,215,218,205,153,5
ar,588,43,36,40,51,40,60,61,52,48,71,47,39,2
ca,8912,769,590,672,634,606,849,890,901,772,741,818,670,6
,,,,,,,,,,,,,,
co,1413,95,65,93,87,111,125,154,137,147,161,127,111,4
ct,892,68,46,66,48,44,89,122,107,93,85,68,56,3
de,166,17,8,7,6,13,19,19,16,14,12,18,17,1
dc,7,1,0,0,0,0,1,2,2,0,0,0,1,1
fl,3835,388,256,348,349,235,321,329,264,261,328,350,406,6
ga,1254,107,83,87,100,97,108,106,81,122,114,144,105,4
,,,,,,,,,,,,,,
hi,262,27,13,10,20,20,22,21,32,18,24,17,38,1
id,521,26,32,35,36,34,50,81,67,49,46,30,35,2
il,2498,145,132,127,138,184,256,356,317,263,283,168,129,5
in,1287,52,70,92,112,79,146,181,138,121,123,84,89,4
ia,678,43,30,48,50,49,66,98,66,64,71,58,35,2
ks,613,37,35,36,30,30,67,81,66,55,64,60,52,2
ky,855,47,37,48,60,63,94,128,84,86,84,80,44,3
la,558,52,43,34,48,35,70,42,44,38,46,49,57,2
me,558,40,19,29,32,20,40,63,109,67,48,55,36,2
md,837,66,55,58,55,40,83,83,79,78,88,76,76,3
ma,1256,82,64,85,87,89,113,139,164,119,99,115,100,4
mi,1836,70,92,100,108,108,221,298,236,187,150,181,85,5
mn,1012,43,41,52,74,76,101,150,155,97,91,79,53,3
ms,375,36,21,28,24,25,30,34,24,35,42,48,28,1
mo,1458,89,58,85,79,109,184,227,128,113,147,129,110,5
mt,478,43,29,41,24,29,52,61,54,31,43,42,29,2
ne,381,14,14,20,16,24,35,62,38,51,39,48,20,1
nv,803,52,54,58,72,57,86,70,81,86,76,44,67,2
nh,486,36,37,30,29,20,42,42,58,68,49,32,43,2
nj,1255,82,62,77,72,86,139,157,163,134,95,109,79,4
nm,720,43,28,62,80,54,65,61,67,84,70,56,50,2
ny,2980,177,168,186,160,193,334,395,382,315,291,232,147,5
nc,1740,135,100,121,139,110,156,189,145,159,195,151,140,5
nd,129,10,3,2,14,6,12,17,27,14,7,11,6,1
oh,2275,101,100,143,133,132,251,317,259,263,233,218,125,5
ok,724,48,30,45,34,58,71,104,65,65,74,72,58,2
or,1746,113,115,111,108,105,154,254,228,187,148,117,106,5
pa,2366,166,119,156,149,154,264,312,221,225,226,199,175,5
pr,25,3,0,1,3,1,9,2,0,2,1,2,1,1
ri,228,25,10,15,12,11,19,26,23,27,23,24,13,1
sc,1003,82,66,51,48,59,105,105,77,117,110,97,86,3
sd,183,13,7,7,8,15,18,31,19,19,18,13,15,1
tn,1119,71,82,71,83,68,118,93,93,102,145,127,66,3
tx,3447,274,209,198,251,250,340,326,314,321,409,326,229,6
ut,622,54,35,47,40,43,68,59,79,56,61,37,43,2
vt,260,13,25,14,20,13,18,21,26,25,23,35,27,1
va,1273,93,82,109,77,82,122,107,107,102,138,129,125,4
,,,,,,,,,,,,,,
wa,3966,231,258,254,277,197,348,623,523,402,342,269,242,6
wv,448,21,35,37,31,32,47,59,43,44,37,39,23,1
wi,1232,74,54,73,60,79,109,193,165,130,115,115,65,3
wy,175,9,11,3,14,8,21,19,25,22,21,12,10,1
